[2026-05-18T08:01:57.365Z] GET http://localhost:5177/node_modules/.vite/deps/axios.js?v=bc9b4507 → 200 (?ms, 99771B)
[2026-05-18T08:01:57.426Z] GET http://localhost:5177/api/v1/vouchers?page=1&pageSize=20 → 200 (11ms, 2560B)
[2026-05-18T08:01:57.451Z] GET http://localhost:5177/node_modules/@fontsource/jetbrains-mono/files/jetbrains-mono-latin-400-normal.woff2 → 304 (91ms, ?B)
[2026-05-18T08:03:01.535Z] GET http://localhost:5177/api/v1/vouchers?page=1&pageSize=3 → pending (?ms, ?B)
[2026-05-18T08:06:47.675Z] GET http://localhost:5177/employee-vouchers → 200 (309ms, 349B)
[2026-05-18T08:06:47.989Z] GET http://localhost:5177/@vite/client → 200 (1ms, 137703B)
[2026-05-18T08:06:47.989Z] GET http://localhost:5177/src/main.js → 200 (1ms, 4138B)
[2026-05-18T08:06:47.991Z] GET http://localhost:5177/node_modules/.vite/deps/vue.js?v=8391144a → 200 (?ms, 5709B)
[2026-05-18T08:06:47.991Z] GET http://localhost:5177/node_modules/.vite/deps/element-plus.js?v=dad2b4ee → 200 (1ms, 2362252B)
[2026-05-18T08:06:47.992Z] GET http://localhost:5177/node_modules/element-plus/dist/index.css → 200 (60ms, 357900B)
[2026-05-18T08:06:47.992Z] GET http://localhost:5177/node_modules/.vite/deps/element-plus_dist_locale_zh-cn__mjs.js?v=730bc7f1 → 200 (?ms, 5518B)
[2026-05-18T08:06:47.993Z] GET http://localhost:5177/node_modules/.vite/deps/@element-plus_icons-vue.js?v=f05f4e96 → 200 (?ms, 16119B)
[2026-05-18T08:06:47.993Z] GET http://localhost:5177/node_modules/@fontsource/jetbrains-mono/index.css → 200 (4ms, 3654B)
[2026-05-18T08:06:47.993Z] GET http://localhost:5177/src/App.vue → 200 (5ms, 2271B)
[2026-05-18T08:06:47.993Z] GET http://localhost:5177/src/router/index.js → 200 (59ms, 11439B)
[2026-05-18T08:06:47.993Z] GET http://localhost:5177/src/styles/global.css → 200 (59ms, 5789B)
[2026-05-18T08:06:47.993Z] GET http://localhost:5177/node_modules/vite/dist/client/env.mjs → 200 (59ms, 4438B)
[2026-05-18T08:06:47.994Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-UC4PQXLF.js?v=2adafd80 → 200 (1ms, 386310B)
[2026-05-18T08:06:47.995Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=2adafd80 → 200 (1ms, 1540B)
[2026-05-18T08:06:47.997Z] GET http://localhost:5177/node_modules/.vite/deps/chunk-BXRPTJTD.js?v=2adafd80 → 200 (?ms, 239109B)
[2026-05-18T08:06:48.052Z] GET http://localhost:5177/src/App.vue?vue&type=style&index=0&lang.css → 200 (4ms, 591B)
[2026-05-18T08:06:48.052Z] GET http://localhost:5177/@id/__x00__plugin-vue:export-helper → 200 (4ms, 1126B)
[2026-05-18T08:06:48.056Z] GET http://localhost:5177/node_modules/.vite/deps/vue-router.js?v=d3b55959 → 200 (?ms, 94289B)
[2026-05-18T08:06:48.057Z] GET http://localhost:5177/src/views/Layout.vue → 200 (1ms, 33988B)
[2026-05-18T08:06:48.057Z] GET http://localhost:5177/src/views/EmployeeVouchers.vue → 200 (7ms, 55927B)
[2026-05-18T08:06:48.058Z] GET http://localhost:5177/src/stores/auth.js → 200 (6ms, 4284B)
[2026-05-18T08:06:48.058Z] GET http://localhost:5177/src/views/Layout.vue?vue&type=style&index=0&scoped=60489549&lang.css → 200 (7ms, 3396B)
[2026-05-18T08:06:48.066Z] GET http://localhost:5177/node_modules/.vite/deps/qrcode.js?v=2c3859c9 → 200 (?ms, 62736B)
[2026-05-18T08:06:48.066Z] GET http://localhost:5177/src/api/voucher.js → 200 (1ms, 3894B)
[2026-05-18T08:06:48.066Z] GET http://localhost:5177/src/views/EmployeeVouchers.vue?vue&type=style&index=0&scoped=17eecd25&lang.css → 200 (1ms, 1598B)
[2026-05-18T08:06:48.068Z] GET http://localhost:5177/src/api/request.js → 200 (1ms, 11672B)
